90,11
133,16
567,69
567,70
667,82
761,84
973,96
2048,175
2052,178
2052,179
2079,183
2264,188
2312,2
2831,255
2831,256
2835,255
2835,256
2967,269
3461,282
3461,283
3539,294
3614,295
3614,296
3614,297
3858,312
4101,329
4313,343
4505,178
4505,356
4580,364
4986,366
5032,374
5070,212
5070,366
5070,377
5973,411
6387,437
6679,462
6736,471
6930,474
6930,475
8388,94
8420,206
8420,583
8420,584
8420,585
8420,586
8420,587
10098,655
10125,659
10485,690
12585,135
12585,773
12950,693
13205,178
13205,179
14021,429
14021,845
14021,847
14022,429
14022,845
14022,848
14504,886
14512,887
15298,942
15298,943
15929,979
15965,482
15973,482
16537,994
16593,851
16593,1001
16593,1002
16873,1006
16873,1017
16929,1022
16936,1006
16936,1041
16941,1044
16953,1006
16953,1051
16953,1052
16958,1006
16958,1056
16971,1006
16971,1009
17248,1079
17389,155
17598,1102
17598,1103
18237,619
18237,1144
18237,1145
18801,1175
18849,1179
19558,1205
19558,1206
19631,1214
20397,1227
20410,202
20410,1228
20474,1235
20474,1236
20756,1259
20846,1268
20846,1269
21017,222
21017,572
21017,1274
21802,605
22517,605
22517,1331
22517,1332
22517,1333
22523,226
22523,1334
22523,1335
22523,1336
23182,1344
23182,1345
23182,1346
23182,1347
23183,1344
23183,1345
23183,1346
23183,1347
23184,1344
23184,1345
23184,1346
23184,1347
23186,1344
23186,1345
23186,1346
23186,1347
23187,1344
23187,1345
23187,1346
23187,1347
26004,994
28290,1452
28291,1453
28291,1454
28292,1455
28295,1456
28296,1457
28297,1458
28302,1459
28328,1462
28655,803
28655,1474
28699,1475
28756,169
28934,1489
29286,1498
29668,1505
29917,1257
29917,1541
31515,1592
32030,1612
32907,1646
33124,805
33673,1663
33762,1668
34115,1655
34115,1687
34895,805
35038,437
35866,1774
36102,805
36143,805
36143,1784
36204,95
37182,222
37182,572
37308,222
37308,1655
37527,418
38166,891
38166,1867
38173,1870
38237,1875
38875,1907
43183,839
43183,2017
43183,2018
43183,2019
43183,2020
43668,2053
43893,2072
43896,2073
43960,2081
47282,1424
47768,2195
47768,2196
49536,2245
51270,1338
51287,2251
51891,2281
52438,2341
52438,2342
53043,2381
53054,2382
53098,2387
53114,2390
53193,2400
53261,610
53261,2403
53581,2422
57693,95
57693,892
57693,2474
57773,266
57941,2476
57946,2477
58028,1507
58030,2481
58091,2486
58211,106
58211,2494
58211,2501
58300,1195
58322,2509
58379,2513
58379,2514
58823,686
58823,1507
59043,246
59043,2529
59044,2530
59141,1446
61667,2072
62266,2608
62373,208
62373,2618
62373,2619
62373,2620
62373,2621
62602,2635
62794,2640
63022,2659
63082,2670
63082,2671
63089,95
63089,693
63089,2673
63779,2724
63779,2725
63779,2726
63934,2734
64183,2749
64183,2750
64904,2789
64910,2789
65239,2212
65450,2811
65462,2813
65462,2814
65721,2853
65721,2854
68506,2913
68535,2918
68628,2053
68683,2929
68683,2930
68787,440
68787,2944
68829,1879
68829,2948
68829,2949
68830,1004
68830,1546
68830,2946
68830,2948
68831,1879
68831,2948
68831,2949
68832,1004
68832,1546
68832,2948
68833,418
68833,501
68833,1546
68833,2948
68834,1879
68834,2948
68834,2949
68835,1004
68835,1546
68835,2946
68835,2948
68835,2950
68835,2951
68836,1004
68836,1546
68836,2946
68836,2948
68837,1004
68837,1546
68837,2948
68838,418
68838,2948
68838,2949
68839,418
68839,1546
68839,2948
68840,1879
68840,2948
68840,2949
68841,1004
68841,2948
68841,2949
68842,1879
68842,2948
68842,2949
68843,1004
