90,5.9,15
133,7.6,7
567,6.8,11
667,6.2,168
761,7.2,15
973,3.2,6
2048,5.6,11
2052,7.1,56
2079,7.8,2291
2264,7.9,900
2312,6.3,13
2831,7.3,22
2835,6.1,8
2967,6.4,9
3461,7.0,17
3539,6.2,5
3614,7.7,128
3858,8.2,177
4101,6.2,13
4313,5.4,5
4505,6.7,32
4580,5.1,1905
4986,5.0,14
5032,5.8,48
5070,7.4,11
5973,4.1,8
6387,3.0,5
6679,7.3,22
6736,7.7,450
6930,8.6,12
8388,6.7,9
8420,6.3,1926
10098,7.7,155
10125,4.4,7
10485,8.1,17
12585,4.4,31
12950,7.8,19
13205,5.9,30
14021,8.2,381
14022,8.4,399
14504,8.0,5
14512,7.4,20
15298,4.6,5
15929,2.8,6
15965,5.7,346
15973,6.3,168
16537,6.8,29
16593,5.2,31
16873,7.6,28
16929,7.8,610
16936,5.4,276
16941,8.6,2168
16953,6.5,569
16958,8.2,625
16971,8.5,2601
17248,5.1,9
17389,3.7,14
17598,7.1,34
18237,7.3,11
18801,4.2,9
18849,7.0,129
19558,6.8,104
19631,8.9,9
20397,5.5,21
20410,3.8,19
20474,6.1,15
20756,5.0,6
20846,6.7,10
21017,7.6,230
21802,7.8,45
22517,7.4,5
22523,6.7,2228
23182,5.7,13
23183,5.3,36
23184,4.8,25
23186,5.6,9
23187,7.3,17
26004,7.9,14
28290,5.0,8
28291,6.9,18
28292,6.1,13
28295,3.6,7
28296,6.3,32
28297,5.1,17
28302,2.8,6
28328,4.8,25
28655,4.9,10
28699,6.8,10
28756,8.0,23
28934,8.7,10
29286,3.3,15
29668,6.9,82
29917,2.8,6
31515,8.0,6
32030,3.8,175
32907,9.0,47
33124,7.7,365
33673,8.8,5
33762,4.7,145
34115,7.3,20
34895,7.0,45
35038,7.3,10
35866,8.5,169
36102,5.6,43
36143,7.6,33
36204,8.4,49
37182,7.4,28
37308,7.4,12
37527,6.4,12
38166,6.9,9
38173,8.3,6
38237,8.2,58
38875,8.5,71
43183,7.2,19
43668,4.1,13
43893,5.7,96
43896,7.1,224
43960,3.7,26
47282,6.6,8
47768,8.3,38
49536,4.2,5
51270,8.2,8
51287,2.1,29
51891,7.0,47
52438,8.0,7
53043,7.2,1096
53054,4.0,7
53098,7.9,15
53114,8.6,11
53193,6.3,15
53261,7.0,13
53581,7.9,8
57693,6.6,158
57773,7.2,1071
57941,7.5,96
57946,3.5,279
58028,6.8,19
58030,7.5,24
58091,4.5,36
58211,8.1,10
58300,4.2,5
58322,5.8,17
58379,7.1,166
58823,2.6,7
59043,6.3,10
59044,8.1,7
59141,8.7,6
61667,3.8,21
62266,2.8,481
62373,8.2,15
62602,4.4,52
62794,4.5,15
63022,7.1,10
63082,7.3,7
63089,7.0,97
63779,7.8,16
63934,8.0,29
64183,7.4,7
64904,3.6,8
64910,3.7,9
65239,1.5,10
65450,6.8,31
65462,6.2,14
65721,6.4,66
68506,6.5,54
68535,3.4,27
68628,2.9,37
68683,7.4,27
68787,7.4,7
68829,7.2,993
68830,7.3,377
68831,7.4,1024
68832,7.4,680
68833,7.1,732
68834,7.0,900
68835,6.7,392
68836,7.6,347
68837,7.1,901
68838,7.0,877
68839,7.3,763
68840,7.1,846
68841,7.4,421
68842,7.0,1238
68843,7.4,463
68844,7.4,937
68845,7.2,1071
68846,7.4,524
68847,7.1,509
68848,6.6,885
68849,7.1,573
68850,7.2,736
68851,6.5,713
68879,8.0,1034
68881,7.6,974
68887,7.8,1704
68891,7.9,1100
68892,8.3,1815
68901,7.4,978
68908,8.1,1082
68909,7.5,828
68926,7.7,1128
68936,7.5,1102
68984,4.8,5
69517,7.2,35
69519,7.9,93
69640,6.6,5
69766,8.0,55
69834,5.8,5
70130,4.7,26
70791,2.9,18
70822,2.3,97
70869,4.7,28
70879,7.9,22
70882,4.2,35
71802,8.6,5
72056,8.6,61
72307,3.6,19
72595,8.2,10
72755,7.4,724
72798,7.1,95
72872,7.9,8
73148,5.2,5
74730,8.9,24
74896,4.2,9
75202,6.9,18
75305,7.9,32
75449,8.8,16
75451,8.6,8
75534,7.4,5
75624,7.0,183
77306,7.9,387
77407,7.2,52
77408,6.7,38
77409,7.1,74
77418,6.8,5
77710,5.2,10
77796,7.2,18
77983,7.1,40
78652,6.0,8
78783,7.8,256
79208,7.5,229
79242,6.3,10
79537,6.5,27
80586,7.5,25
80614,7.0,5
80636,8.4,85
80730,5.7,22
81393,4.9,13
81849,7.7,98
81973,7.5,22
82313,5.3,493
82433,4.7,92
82547,3.2,19
87199,8.0,9
87201,6.9,74
87228,5.0,69
87455,7.5,11
88494,3.9,10
88596,7.6,13
89020,7.8,6
89230,8.0,5
89418,8.4,59
89472,6.1,14
91195,6.7,21
91237,7.8,18
91783,8.4,23
92602,5.7,7
